#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-09-09T05:05:23 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ631ac0cd2df3cf	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:II/250&tab:{II/250/gcvs_cat}&key:source=II/250/gcvs_cat&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=II/250/gcvs_cat
#-order=I
#-out=GCVS
#-out=n_GCVS
#-out=RAJ2000
#-out=DEJ2000
#-out=VarType
#VarType=DCEP
#-out=magMax
#-out=Period
#-out=SpType
#-out=f_GCVS
#AFOEV=AFOEV
#Simbad=Simbad
#

#RESOURCE=yCat_2250
#Name: II/250
#Title: Combined General Catalogue of Variable Stars (Samus+ 2004)
#Table	II_250_gcvs_cat:
#Name: II/250/gcvs_cat
#Title: The GCVS4.2 Catalog (Vol. I-III)
#Column	GCVS	(a10)	Variable star designation (G1)	[ucd=meta.id]
#Column	n_GCVS	(A1)	[*] indicates a remark in "gcvs_rem.dat" file	[ucd=meta.note]
#Column	RAJ2000	(A10)	? Hours RA, equinox J2000.0 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	? Degrees Dec, equinox J2000.0 (2)	[ucd=pos.eq.dec;meta.main]
#Column	VarType	(a10)	Type of variability (see file "vartype.txt")	[ucd=meta.code;src.var]
#Column	magMax	(F6.3)	? Magnitude at maximum brightness	[ucd=phot.mag]
#Column	Period	(F16.10)	? Period of the variable star	[ucd=time.period]
#Column	SpType	(a17)	MK Spectral type	[ucd=src.spType]
#Column	f_GCVS	(A1)	[=N+] "N" if the star does not exist (7)	[ucd=meta.code]
GCVS|n_GCVS|RAJ2000|DEJ2000|VarType|magMax|Period|SpType|f_GCVS
Y     Dor |x|05 34 41.7|-68 41 26|DCEP      |15.000|    6.5415100000|                 |=
RU    Dor |x|05 37 28.3|-66 37 43|DCEP      |14.800|    8.3271300000|                 |=
UZ    Dor |x|06 04 11.0|-68 12 58|DCEP      |14.200|   10.9123500000|                 |=
bet   Dor |*|05 33 37.5|-62 29 23|DCEP      | 3.460|    9.8426000000|F4-G4Ia-II       |
W     Gem |*|06 34 57.5|+15 19 50|DCEP      | 6.540|    7.9137790000|F5-G1            |
RZ    Gem |*|06 02 36.6|+22 14 03|DCEP      | 9.490|    5.5292860000|F5-F9            |
AA    Gem |*|06 06 34.9|+26 19 45|DCEP      | 9.360|   11.3023500000|F6-G3Ib          |
AD    Gem |x|06 43 07.5|+20 56 21|DCEP      | 9.450|    3.7879800000|F5-G2:           |
BB    Gem |*|06 34 35.3|+13 04 45|DCEP      |10.750|    2.3082070000|                 |
BW    Gem |x|06 15 59.9|+23 44 51|DCEP      |12.230|    2.6350100000|                 |
zet   Gem |*|07 04 06.5|+20 34 13|DCEP      | 3.620|   10.1507300000|F7Ib-G3Ib        |
BB    Her |*|18 45 54.1|+12 20 10|DCEP      | 9.760|    7.5079450000|G5               |
R     Hyi |*|00 10 24.1|-75 10 37|DCEP      |14.430|   10.0930000000|                 |=
RZ    Hyi |x|01 35 52.7|-73 53 21|DCEP      |13.450|   15.1700700000|                 |=
ST    Hyi |*|01 40 32.3|-74 30 26|DCEP      |12.580|   33.3266680000|                 |=
AH    Hyi |x|01 23 00.6|-74 22 17|DCEP      |14.760|    8.3790000000|                 |=
AI    Hyi |x|01 26 13.0|-74 08 04|DCEP      |14.420|   12.4669630000|                 |=
V     Lac |*|22 48 38.0|+56 19 18|DCEP      | 8.380|    4.9834580000|F5-G0            |
Y     Lac |x|22 09 02.9|+51 02 45|DCEP      | 8.760|    4.3237760000|F5-G0            |
Z     Lac |*|22 40 52.1|+56 49 46|DCEP      | 7.880|   10.8856130000|F6Ib-G6Ib        |
RR    Lac |*|22 41 26.5|+56 25 58|DCEP      | 8.380|    6.4162430000|F6-G2            |
BG    Lac |x|22 00 25.1|+43 26 43|DCEP      | 8.510|    5.3319080000|F7-G4            |
DF    Lac |*|22 21 16.9|+54 31 56|DCEP      |11.530|    4.4792500000|F6pIb-F9pIb      |
IT    Lac |*|22 09 18.6|+51 24 20|DCEP      |15.100|    2.6315670000|                 |
T     Mon |*|06 25 13.0|+07 05 09|DCEP      | 5.580|   27.0246490000|F7Iab-K1Iab+A0V  |
SV    Mon |*|06 21 26.3|+06 28 13|DCEP      | 7.610|   15.2327800000|F6-G4            |
TX    Mon |*|06 50 52.3|-01 25 45|DCEP      |10.670|    8.7017310000|F6-G2            |
TY    Mon |x|06 56 39.8|+00 11 23|DCEP      |12.500|    4.0226946000|K5               |
TZ    Mon |x|06 58 00.9|-00 22 35|DCEP      |10.430|    7.4281800000|F6-G1            |
VZ    Mon |x|06 31 14.5|+11 51 01|DCEP      |14.300|    5.0834000000|                 |
WW    Mon |x|06 33 37.2|+09 12 13|DCEP      |11.970|    4.6623100000|F6-F9            |
XX    Mon |*|06 52 12.2|-02 48 25|DCEP      |11.440|    5.4564730000|F6-G0            |
YY    Mon |x|06 54 11.4|-07 39 52|DCEP      |13.190|    3.4547000000|                 |
AA    Mon |*|06 57 23.7|-03 50 36|DCEP      |13.700|    3.9381640000|                 |
AC    Mon |*|07 00 59.8|-08 42 32|DCEP      | 9.750|    8.0142500000|F5-G1            |
BE    Mon |*|06 40 05.6|+07 36 21|DCEP      |10.190|    2.7055100000|F4-G0            |
BV    Mon |x|06 56 51.1|+04 30 58|DCEP      |12.070|    3.0143000000|                 |
CU    Mon |*|06 32 46.7|+00 02 35|DCEP      |13.200|    4.7078730000|                 |
CV    Mon |*|06 37 04.8|+03 03 50|DCEP      | 9.900|    5.3788980000|                 |
EE    Mon |*|06 50 48.6|-07 58 50|DCEP      |13.100|    4.8089600000|                 |
EK    Mon |*|06 52 46.2|-02 27 30|DCEP      |10.770|    3.9579410000|                 |
FG    Mon |x|07 07 08.5|-07 47 42|DCEP      |13.500|    4.4965900000|                 |
FI    Mon |x|07 10 38.0|-07 07 22|DCEP      |13.100|    3.2878220000|                 |
FT    Mon | |06 21 36.1|+04 04 25|DCEP      |12.030|    4.8342250000|                 |
V0465 Mon |*|07 08 09.3|-00 03 57|DCEP      |10.170|    2.7131760000|G0               |
V0495 Mon | |06 37 03.3|-02 49 27|DCEP      |13.000|    4.0965830000|                 |
V0508 Mon |x|06 47 09.4|+03 58 02|DCEP      |10.220|    4.1336080000|                 |
V0510 Mon |*|06 47 26.9|+02 31 01|DCEP      |12.350|    7.3071750000|                 |
R     Mus |x|12 42 05.0|-69 24 27|DCEP      | 5.930|    7.5102110000|F7Ib-G2          |
S     Mus |*|12 12 47.0|-70 09 06|DCEP      | 5.890|    9.6600700000|F6Ib-G0          |
RT    Mus |x|11 44 32.9|-67 18 19|DCEP      | 8.570|    3.0861310000|F8               |
TZ    Mus |*|11 50 56.5|-65 08 26|DCEP      |11.160|    4.9448850000|                 |
UU    Mus |x|11 52 17.7|-65 24 15|DCEP      | 9.130|   11.6364100000|F7/G0p           |
UX    Mus | |12 17 33.7|-65 45 14|DCEP      |13.800|    7.1422000000|                 |
S     Nor |*|16 18 51.8|-57 53 59|DCEP      | 6.120|    9.7541100000|F8-G0Ib          |
U     Nor |*|15 42 20.9|-55 18 43|DCEP      | 8.630|   12.6437100000|F6-F8Ib/II-G5    |
RS    Nor |*|16 05 10.0|-53 55 10|DCEP      | 9.620|    6.1981400000|                 |
SY    Nor |*|15 54 42.8|-54 33 59|DCEP      | 8.980|   12.6452000000|                 |
TW    Nor |*|16 04 55.2|-51 57 13|DCEP      |11.170|   10.7861800000|                 |
GU    Nor |*|16 14 54.7|-53 20 18|DCEP      |10.080|    3.4528770000|                 |
IQ    Nor |*|15 12 49.5|-54 45 19|DCEP      | 9.470|    8.2386200000|                 |
V0340 Nor |x|16 13 17.4|-54 14 06|DCEP      | 8.260|                |                 |+
BF    Oph |*|17 06 05.5|-26 34 50|DCEP      | 6.930|    4.0677500000|F6-G2            |
RS    Ori |*|06 22 13.2|+14 40 41|DCEP      | 8.010|    7.5668810000|F5Ib-G1Ib        |
CR    Ori |x|06 05 44.8|+13 14 23|DCEP      |11.990|    4.9107500000|F7-F8            |
CS    Ori |x|06 07 25.5|+11 09 07|DCEP      |10.850|    3.8893900000|F5-G0            |
CU    Ori |x|06 11 25.1|+11 48 00|DCEP      |13.500|    2.1599300000|                 |
CV    Ori |x|06 12 22.0|+13 38 11|DCEP      |14.000|    3.5597600000|                 |
DF    Ori |x|06 24 04.2|+11 42 32|DCEP      |13.800|    3.1807000000|                 |
GQ    Ori |*|06 11 13.6|+09 36 45|DCEP      | 8.660|    8.6160680000|G0               |
V0336 Ori |x|05 57 34.3|+19 49 12|DCEP      |15.200|    2.8436300000|                 |
V0432 Ori |*|05 18 48.0|+13 59 12|DCEP      |12.100|    5.0656350000|F5-G0            |
SV    Per |*|04 49 47.9|+42 17 23|DCEP      | 8.490|   11.1293180000|F6-G1            |
SX    Per |*|04 17 06.1|+41 43 55|DCEP      |10.700|    4.2899670000|F5-G5            |
UX    Per |*|02 13 07.5|+58 04 48|DCEP      |11.020|    4.5658150000|F5-G3            |
UY    Per |*|02 34 31.3|+58 49 54|DCEP      |10.800|    5.3651060000|F7-G0            |
VX    Per |*|02 07 48.5|+58 26 37|DCEP      | 8.990|   10.8890400000|F6-G1            |
VY    Per |*|02 27 35.4|+58 55 02|DCEP      |10.800|    5.5318300000|F5-F9            |
AS    Per |*|04 19 46.9|+48 57 12|DCEP      | 9.170|    4.9725160000|F8-G1            |
AW    Per |*|04 47 46.3|+36 43 22|DCEP      | 7.040|    6.4635890000|F6-G0            |
BM    Per |*|04 29 39.4|+48 25 19|DCEP      | 9.650|   22.9519000000|K5               |
DW    Per |x|02 33 52.6|+57 01 39|DCEP      |11.200|    3.6497850000|F6Ib             |
HZ    Per |*|04 25 37.3|+45 37 13|DCEP      |13.300|   11.2790000000|                 |
MM    Per |x|03 45 23.4|+48 05 01|DCEP      |12.000|    4.1184150000|G0               |
OT    Per |x|04 38 37.9|+47 44 24|DCEP      |12.970|   26.0910000000|                 |
V0598 Per | |03 11 07.3|+55 30 30|DCEP      |13.200|                |                 |+
X     Pup |*|07 32 47.0|-20 54 35|DCEP      | 7.820|   25.9610000000|F6-G2            |
RS    Pup |*|08 13 04.2|-34 34 43|DCEP      | 6.520|   41.3876000000|F9-G7            |
VW    Pup |*|07 31 49.1|-20 08 59|DCEP      |11.000|    4.2853700000|F5-G0            |
VZ    Pup |*|07 38 35.2|-28 29 59|DCEP      | 8.920|   23.1710000000|F5-G2            |
WW    Pup |*|07 41 54.9|-21 07 59|DCEP      |10.030|    5.5167240000|F5-F9            |
WX    Pup |*|07 41 59.0|-25 52 34|DCEP      | 8.760|    8.9370500000|F6-G1            |
WY    Pup |x|07 58 05.1|-24 02 30|DCEP      |10.180|    5.2508000000|F5-F9            |
WZ    Pup |*|08 00 22.9|-23 42 11|DCEP      | 9.850|    5.0272860000|F5-G2            |
AD    Pup |x|07 48 03.9|-25 34 40|DCEP      | 9.270|   13.5940000000|F5-G2            |
AP    Pup |x|07 57 45.7|-40 07 24|DCEP      | 7.020|    5.0843102000|F5-F7            |
AQ    Pup |*|07 58 22.1|-29 07 48|DCEP      | 8.080|   30.1040000000|F5Ib-G2Ib        |
AT    Pup |*|08 12 22.4|-36 56 38|DCEP      | 7.530|    6.6650000000|F8-G0            |
BC    Pup | |07 30 02.6|-23 40 27|DCEP      |14.200|    3.5443400000|                 |
BD    Pup | |07 30 38.7|-24 41 15|DCEP      |13.800|    3.9181700000|                 |
BM    Pup |x|07 50 03.1|-28 15 19|DCEP      |10.430|    7.1985300000|                 |
BN    Pup |*|08 06 21.5|-30 05 49|DCEP      | 9.200|   13.6731000000|G4               |
CE    Pup |*|08 14 08.0|-42 34 05|DCEP      |12.500|   49.5300000000|                 |
CM    Pup | |07 30 42.4|-20 27 07|DCEP      |14.400|    3.1733700000|                 |
HW    Pup |*|07 57 42.2|-27 36 07|DCEP      |11.900|   13.4540000000|                 |
NT    Pup | |07 58 46.3|-38 59 40|DCEP      |11.000|   15.5650000000|                 |
S     Sge |*|19 56 01.3|+16 38 05|DCEP      | 5.240|    8.3820860000|F6Ib-G5Ib        |
DG    Sge |x|19 40 35.2|+19 17 08|DCEP      |14.600|    4.4372700000|                 |
GX    Sge |x|19 31 10.4|+19 15 25|DCEP      |11.820|   12.8996000000|                 |
GY    Sge |*|19 35 13.6|+19 12 09|DCEP      | 9.840|   51.0625000000|                 |
V0355 Sge | |19 35 44.8|+18 56 42|DCEP      |14.700|                |                 |+
U     Sgr |*|18 31 53.3|-19 07 30|DCEP      | 6.280|    6.7452260000|F5Ib-G1.5Ib      |
W     Sgr |*|18 05 01.2|-29 34 48|DCEP      | 4.290|    7.5950300000|F4-G2Ib          |
X     Sgr |*|17 47 33.6|-27 49 51|DCEP      | 4.200|    7.0128300000|F5-G2II          |
Y     Sgr |*|18 21 23.0|-18 51 36|DCEP      | 5.250|    5.7733500000|F5-G0Ib-II       |
VY    Sgr |*|18 12 04.6|-20 42 15|DCEP      |10.860|   13.5572000000|F6-G2            |
WZ    Sgr |*|18 16 59.7|-19 04 33|DCEP      | 7.450|   21.8497080000|F8-K1            |
YZ    Sgr |x|18 49 28.6|-16 43 23|DCEP      | 7.020|    9.5536060000|F6-G2            |
AP    Sgr |*|18 13 02.5|-23 07 02|DCEP      | 6.520|    5.0578750000|F6-G1            |
AV    Sgr |*|18 04 48.8|-22 43 57|DCEP      |10.670|   15.4150000000|                 |
AY    Sgr |*|18 23 19.1|-18 34 29|DCEP      |10.100|    6.5695900000|F6-G1            |
BB    Sgr |*|18 50 59.9|-20 17 43|DCEP      | 6.550|    6.6369900000|F6-G1            |
V0350 Sgr |*|18 45 17.5|-20 38 51|DCEP      | 7.080|    5.1542400000|F5-G2Ib          |
V0773 Sgr |*|17 54 18.0|-26 45 32|DCEP      |12.000|    5.7484450000|                 |
V1828 Sgr |*|18 13 33.0|-26 23 44|DCEP      |12.710|   12.9720000000|                 |
V1954 Sgr |*|18 15 22.0|-20 37 59|DCEP      |11.800|    6.1794489000|                 |
V1996 Sgr |*|18 30 35.0|-24 37 29|DCEP      |12.400|   18.1500000000|                 |
RV    Sco |*|16 58 19.7|-33 36 33|DCEP      | 6.610|    6.0613300000|F5-G1            |
RY    Sco |*|17 50 52.3|-33 42 20|DCEP      | 7.510|   20.3132200000|F6-G2            |
KQ    Sco |*|16 51 38.5|-45 25 36|DCEP      | 9.340|   28.6896000000|K5               |
V0470 Sco |*|17 17 25.5|-37 19 08|DCEP      |10.480|   16.2615000000|                 |
V0482 Sco |x|17 30 48.4|-33 36 36|DCEP      | 7.630|    4.5278070000|F5               |
V0500 Sco |x|17 48 37.5|-30 28 33|DCEP      | 8.400|    9.3168630000|K0               |
V0636 Sco |*|17 22 46.5|-45 36 51|DCEP      | 6.400|    6.7967100000|F7/8Ib/II-G5     |
X     Sct |*|18 31 19.7|-13 06 29|DCEP      | 9.500|    4.1980700000|F6-G2            |
Y     Sct |*|18 38 03.0|-08 22 08|DCEP      | 9.220|   10.3415040000|F8-G3            |
Z     Sct |*|18 42 57.0|-05 49 15|DCEP      | 9.050|   12.9013250000|F8-G4            |
RU    Sct |*|18 41 56.0|-04 06 38|DCEP      | 8.820|   19.7006200000|F4-G5            |
SS    Sct |*|18 43 44.0|-07 43 52|DCEP      | 7.900|    3.6712530000|F6-G0            |
SU    Sct |*|18 52 52.1|-12 30 35|DCEP      |13.800|    1.4679780000|                 |
TY    Sct |*|18 42 08.0|-04 17 37|DCEP      |10.310|   11.0530200000|F7-G5            |
UZ    Sct |*|18 31 22.4|-12 55 43|DCEP      |10.790|   14.7442000000|G0-G4            |
BX    Sct |*|18 50 09.0|-04 22 05|DCEP      |11.700|    6.4113300000|F6-G0            |
CK    Sct |*|18 41 01.0|-06 05 50|DCEP      |10.300|    7.4152200000|G                |
CM    Sct |*|18 42 27.0|-05 20 27|DCEP      |10.790|    3.9169770000|                 |
CN    Sct |*|18 42 31.0|-04 19 50|DCEP      |12.130|    9.9923000000|                 |
FT    Sct |x|18 44 38.0|-04 24 58|DCEP      |16.000|    5.2553700000|                 |
V0459 Sct | |18 25 51.0|-12 19 58|DCEP      |14.700|                |                 |+
AA    Ser |*|18 41 21.8|-01 06 40|DCEP      |11.740|   17.1412000000|F9-G2            |
CR    Ser |*|18 10 02.1|-13 32 46|DCEP      |10.500|    5.3014100000|G5               |
DV    Ser |*|18 40 13.0|-02 23 03|DCEP      |15.700|   23.0639000000|                 |
ST    Tau |x|05 45 03.2|+13 34 35|DCEP      | 7.790|    4.0342990000|F5-G5            |
AV    Tau |x|05 45 44.9|+27 04 05|DCEP      |13.000|    3.6158100000|                 |
EF    Tau |x|05 43 31.8|+19 25 12|DCEP      |13.500|    3.4481500000|                 |
R     TrA |*|15 19 45.7|-66 29 46|DCEP      | 6.330|    3.3892870000|F6Ib/II-G0       |
S     TrA | |16 01 10.7|-63 46 36|DCEP      | 5.950|    6.3234400000|F6II-G2          |
RR    Tuc |*|00 58 02.6|-72 40 23|DCEP      |16.600|    4.7699000000|                 |=
RS    Tuc |x|00 57 44.4|-72 46 17|DCEP      |17.100|    1.4539000000|                 |=
RT    Tuc |x|00 58 46.6|-72 55 05|DCEP      |16.370|    2.6672780000|                 |=
RU    Tuc |x|00 59 19.1|-72 58 18|DCEP      |15.670|    2.1610220000|                 |=
RV    Tuc |*|00 58 28.9|-72 35 49|DCEP      |16.600|    2.1076330000|                 |=
RW    Tuc |x|01 00 05.3|-72 56 41|DCEP      |16.400|    3.2446780000|                 |=
RX    Tuc |x|01 00 19.5|-72 38 39|DCEP      |15.500|    4.2907770000|                 |=
RZ    Tuc |x|01 00 42.1|-72 49 41|DCEP      |15.900|    2.9731820000|                 |=
SS    Tuc |*|01 01 49.5|-72 05 45|DCEP      |12.870|   49.6840000000|K5-8:            |=
SU    Tuc |*|01 03 20.7|-72 48 57|DCEP      |16.600|    2.9053130000|                 |=
SV    Tuc |x|01 03 12.3|-71 50 48|DCEP      |15.700|    5.5844400000|                 |=
SW    Tuc |x|01 03 28.0|-72 46 15|DCEP      |15.600|    3.5916960000|                 |=
SX    Tuc |*|01 04 40.0|-72 19 11|DCEP      |16.100|    3.3516890000|                 |=
TT    Tuc |x|01 05 37.8|-71 50 36|DCEP      |16.000|    2.3463620000|                 |=
TU    Tuc |x|01 07 44.0|-72 19 22|DCEP      |16.000|    2.3089620000|                 |=
TV    Tuc |*|01 07 16.4|-72 26 13|DCEP      |15.500|    3.8025710000|                 |=
TW    Tuc |x|01 07 24.7|-72 31 21|DCEP      |15.300|    6.1120960000|                 |=
TX    Tuc |x|01 07 14.4|-71 55 11|DCEP      |16.000|    2.5577130000|                 |=
AS    Tuc |x|00 22 40.5|-73 31 01|DCEP      |16.200|    2.9110000000|                 |=
AT    Tuc |x|00 23 10.1|-73 31 26|DCEP      |15.700|    3.1147990000|                 |=
AW    Tuc |x|00 25 57.5|-74 14 42|DCEP      |15.940|    3.2139460000|                 |=
AX    Tuc |x|00 42 08.1|-72 57 09|DCEP      |16.300|    2.7475620000|                 |=
BC    Tuc |x|01 12 48.5|-74 22 20|DCEP      |15.600|    8.1146200000|                 |=
BE    Tuc |*|01 16 58.2|-73 43 11|DCEP      |13.620|   25.4329970000|                 |=
BF    Tuc |*|01 17 53.0|-73 37 25|DCEP      |13.150|   22.6468280000|                 |=
BH    Tuc |*|01 20 07.7|-72 54 19|DCEP      |13.570|   19.9790360000|                 |=
BZ    Tuc |*|00 41 43.4|-73 43 24|DCEP      |11.530|  127.6100000000|F8-G1I           |=
T     Vel |x|08 37 40.8|-47 21 43|DCEP      | 7.680|    4.6397400000|F6-G0II          |
V     Vel |x|09 22 16.2|-55 57 37|DCEP      | 7.190|    4.3709910000|F6-F9II          |
RY    Vel |*|10 20 41.0|-55 19 17|DCEP      | 7.860|   28.1357000000|F5-G3Ib/II       |
RZ    Vel |x|08 37 01.3|-44 06 53|DCEP      | 6.420|   20.3982400000|G1Ib-G8          |
ST    Vel |x|08 44 55.9|-50 33 36|DCEP      | 9.390|    5.8584249000|K                |
SV    Vel |x|10 44 56.3|-56 17 22|DCEP      | 7.910|   14.0970700000|F6-G5II          |
SW    Vel |*|08 43 38.7|-47 24 11|DCEP      | 7.440|   23.4410000000|F8/G0Ib          |
SX    Vel |*|08 44 53.5|-46 20 35|DCEP      | 7.920|    9.5499300000|F8II             |
XX    Vel |x|10 36 08.6|-56 02 36|DCEP      |10.250|    6.9845700000|                 |
AB    Vel | |10 19 52.1|-56 18 35|DCEP      |14.500|    6.2456000000|                 |
AE    Vel |x|09 36 51.5|-53 01 58|DCEP      | 9.880|    7.1335700000|                 |
BG    Vel |x|09 08 15.7|-51 26 11|DCEP      | 7.430|    6.9236550000|F7/8II           |
BH    Vel | |08 29 48.5|-41 13 26|DCEP      |13.100|    7.2008000000|                 |
CO    Vel | |08 29 41.3|-40 20 02|DCEP      |12.150|    4.2753600000|                 |
CP    Vel | |08 48 10.5|-48 39 33|DCEP      |13.100|    9.8422600000|                 |
CS    Vel |*|09 41 10.3|-53 48 58|DCEP      |11.240|    5.9047400000|                 |
CX    Vel | |09 06 38.1|-52 21 27|DCEP      |12.360|    6.2554250000|                 |
DK    Vel |*|09 17 16.7|-53 05 06|DCEP      |10.340|    2.4816400000|F8II             |
DP    Vel |x|09 30 15.8|-53 03 31|DCEP      |11.510|    5.4843800000|                 |
DR    Vel |x|09 31 41.0|-49 39 18|DCEP      | 9.120|   11.1993000000|                 |
EX    Vel | |09 20 01.5|-52 51 22|DCEP      |11.210|   13.2341000000|                 |
EZ    Vel | |09 25 07.4|-53 12 36|DCEP      |13.400|   34.5346000000|                 |
FG    Vel | |09 33 23.7|-52 45 21|DCEP      |11.540|    6.4532000000|                 |
S     Vul |*|19 48 23.8|+27 17 11|DCEP      | 8.690|   68.4640000000|G0-K2(M1)        |
T     Vul |*|20 51 28.3|+28 15 02|DCEP      | 5.410|    4.4354620000|F5Ib-G0Ib        |
U     Vul |x|19 36 37.7|+20 19 58|DCEP      | 6.730|    7.9906760000|F6Iab-G2         |
X     Vul |*|19 57 28.6|+26 33 24|DCEP      | 8.330|    6.3195880000|F6Ia-F9          |
SV    Vul |*|19 51 30.9|+27 27 38|DCEP      | 6.720|   45.0121000000|F7Iab-K0Iab      |
AS    Vul |x|19 47 46.0|+27 54 24|DCEP      |11.760|   12.2247260000|                 |
BR    Vul |x|19 46 36.0|+22 53 13|DCEP      |11.800|    5.1971700000|                 |
GQ    Vul |*|19 47 59.0|+26 00 01|DCEP      |13.030|   12.6438700000|                 |

